Fecha,SKU_ID,CEDI,Ventas_Unidades,Stock_Actual,Lead_Time_Dias,Promocion_Activa,Precio_Combustible_MXN,Clima,Costo_Quiebre_Stock_Diario,Costo_Transferencia_Unidad,Demanda_Futura_LT,Target_Riesgo_Quiebre,Ventas_Lag_1d,Stock_Lag_1d,Ventas_Media_3d,Ventas_Media_7d,Ventas_Max_7d,Demanda_Estimada_LT,Dias_Cobertura,Gap_Estimado_LT,Ratio_Cobertura_LT,Dia_Semana,Semana_Anio,Dia_Mes,Promocion_Activa_Num
2024-03-01,HZ-Atun-Agua-140g,CEDI_Bajio,103,1869,5,1,23.75,Lluvia,8000,11.66,479.0,0,103.0,1869.0,103.0,103.0,103.0,515.0,18.145631067961165,1354.0,3.629126213592233,4,9,1,1
2024-03-02,HZ-Atun-Agua-140g,CEDI_Bajio,92,834,5,0,23.71,Despejado,8000,9.77,493.0,0,103.0,1869.0,103.0,103.0,103.0,515.0,8.097087378640778,319.0,1.6194174757281554,5,9,2,0
2024-03-03,HZ-Atun-Agua-140g,CEDI_Bajio,84,767,5,0,22.83,Despejado,8000,7.14,510.0,0,92.0,834.0,97.5,97.5,103.0,487.5,7.866666666666666,279.5,1.5733333333333333,6,9,3,0
2024-03-04,HZ-Atun-Agua-140g,CEDI_Bajio,103,484,5,1,23.6,Despejado,8000,10.55,490.0,1,84.0,767.0,93.0,93.0,103.0,465.0,5.204301075268817,19.0,1.0408602150537634,0,10,4,1
2024-03-05,HZ-Atun-Agua-140g,CEDI_Bajio,100,894,5,0,23.43,Despejado,8000,10.09,474.0,0,103.0,484.0,93.0,95.5,103.0,477.5,9.361256544502618,416.5,1.8722513089005235,1,10,5,0
2024-03-06,HZ-Atun-Agua-140g,CEDI_Bajio,100,1214,5,0,24.17,Despejado,8000,10.17,459.0,0,100.0,894.0,95.66666666666667,96.4,103.0,482.0,12.593360995850622,732.0,2.5186721991701244,2,10,6,0
2024-03-07,HZ-Atun-Agua-140g,CEDI_Bajio,106,61,5,0,23.69,Lluvia,8000,11.11,458.0,1,100.0,1214.0,101.0,97.0,103.0,485.0,0.6288659793814433,-424.0,0.12577319587628866,3,10,7,0
2024-03-08,HZ-Atun-Agua-140g,CEDI_Bajio,101,1362,5,1,23.8,Lluvia,8000,11.61,442.0,0,106.0,61.0,102.0,98.28571428571429,106.0,491.42857142857144,13.857558139534882,870.5714285714286,2.7715116279069765,4,10,8,1
2024-03-09,HZ-Atun-Agua-140g,CEDI_Bajio,83,243,5,1,23.82,Lluvia,8000,9.52,463.0,1,101.0,1362.0,102.33333333333333,98.0,106.0,490.0,2.479591836734694,-247.0,0.4959183673469388,5,10,9,1
2024-03-10,HZ-Atun-Agua-140g,CEDI_Bajio,84,1425,5,0,23.45,Despejado,8000,10.47,484.0,0,83.0,243.0,96.66666666666667,96.71428571428571,106.0,483.57142857142856,14.734121122599705,941.4285714285714,2.946824224519941,6,10,10,0
2024-03-11,HZ-Atun-Agua-140g,CEDI_Bajio,85,603,5,1,23.13,Despejado,8000,11.37,504.0,0,84.0,1425.0,89.33333333333333,96.71428571428571,106.0,483.57142857142856,6.234859675036928,119.42857142857144,1.2469719350073856,0,11,11,1
2024-03-12,HZ-Atun-Agua-140g,CEDI_Bajio,105,1763,5,0,23.44,Despejado,8000,11.49,496.0,0,85.0,603.0,84.0,94.14285714285714,106.0,470.71428571428567,18.726858877086496,1292.2857142857142,3.7453717754172993,1,11,12,0
2024-03-13,HZ-Atun-Agua-140g,CEDI_Bajio,85,1103,5,1,24.14,Despejado,8000,11.17,524.0,0,105.0,1763.0,91.33333333333333,94.85714285714286,106.0,474.28571428571433,11.62801204819277,628.7142857142857,2.325602409638554,2,11,13,1
2024-03-14,HZ-Atun-Agua-140g,CEDI_Bajio,104,70,5,0,22.94,Despejado,8000,11.07,526.0,1,85.0,1103.0,91.66666666666667,92.71428571428571,106.0,463.57142857142856,0.7550077041602465,-393.57142857142856,0.1510015408320493,3,11,14,0
2024-03-15,HZ-Atun-Agua-140g,CEDI_Bajio,105,985,5,0,23.04,Despejado,8000,11.0,511.0,0,104.0,70.0,98.0,92.42857142857143,105.0,462.14285714285717,10.656877897990727,522.8571428571429,2.1313755795981453,4,11,15,0
2024-03-16,HZ-Atun-Agua-140g,CEDI_Bajio,105,651,5,1,23.26,Despejado,8000,10.65,512.0,0,105.0,985.0,98.0,93.0,105.0,465.0,7.0,186.0,1.4,5,11,16,1
2024-03-17,HZ-Atun-Agua-140g,CEDI_Bajio,97,706,5,0,24.33,Despejado,8000,12.06,512.0,0,105.0,651.0,104.66666666666667,96.14285714285714,105.0,480.71428571428567,7.343239227340268,225.28571428571433,1.4686478454680536,6,11,17,0
2024-03-18,HZ-Atun-Agua-140g,CEDI_Bajio,113,1923,5,1,23.93,Despejado,8000,10.36,502.0,0,97.0,706.0,102.33333333333333,98.0,105.0,490.0,19.622448979591837,1433.0,3.9244897959183676,0,12,18,1
2024-03-19,HZ-Atun-Agua-140g,CEDI_Bajio,106,1955,5,0,23.08,Despejado,8000,12.59,488.0,0,113.0,1923.0,105.0,102.0,113.0,510.0,19.166666666666668,1445.0,3.8333333333333335,1,12,19,0
2024-03-20,HZ-Atun-Agua-140g,CEDI_Bajio,90,1452,5,1,22.81,Lluvia,8000,10.04,514.0,0,106.0,1955.0,105.33333333333333,102.14285714285714,113.0,510.71428571428567,14.215384615384616,941.2857142857143,2.8430769230769233,2,12,20,1
2024-03-21,HZ-Atun-Agua-140g,CEDI_Bajio,106,1356,5,0,23.91,Despejado,8000,12.04,499.0,0,90.0,1452.0,103.0,102.85714285714286,113.0,514.2857142857143,13.183333333333334,841.7142857142857,2.6366666666666663,3,12,21,0
2024-03-22,HZ-Atun-Agua-140g,CEDI_Bajio,97,506,5,0,23.01,Despejado,8000,11.03,511.0,1,106.0,1356.0,100.66666666666667,103.14285714285714,113.0,515.7142857142857,4.905817174515236,-9.714285714285666,0.9811634349030471,4,12,22,0
2024-03-23,HZ-Atun-Agua-140g,CEDI_Bajio,103,783,5,1,22.81,Despejado,8000,10.53,495.0,0,97.0,506.0,97.66666666666667,102.0,113.0,510.0,7.676470588235294,273.0,1.535294117647059,5,12,23,1
2024-03-24,HZ-Atun-Agua-140g,CEDI_Bajio,92,1820,5,0,23.81,Despejado,8000,9.7,502.0,0,103.0,783.0,102.0,101.71428571428571,113.0,508.57142857142856,17.893258426966295,1311.4285714285716,3.5786516853932584,6,12,24,0
2024-03-25,HZ-Atun-Agua-140g,CEDI_Bajio,116,528,5,0,22.79,Lluvia,8000,11.31,490.0,0,92.0,1820.0,97.33333333333333,101.0,113.0,505.0,5.227722772277228,23.0,1.0455445544554456,0,13,25,0
2024-03-26,HZ-Atun-Agua-140g,CEDI_Bajio,91,1906,5,0,23.82,Lluvia,8000,10.81,494.0,0,116.0,528.0,103.66666666666667,101.42857142857143,116.0,507.14285714285717,18.791549295774647,1398.857142857143,3.7583098591549295,1,13,26,0
2024-03-27,HZ-Atun-Agua-140g,CEDI_Bajio,109,288,5,0,22.63,Tormenta,8000,11.99,486.0,1,91.0,1906.0,99.66666666666667,99.28571428571429,116.0,496.42857142857144,2.9007194244604313,-208.42857142857144,0.5801438848920863,2,13,27,0
2024-03-28,HZ-Atun-Agua-140g,CEDI_Bajio,87,363,5,0,23.72,Despejado,8000,9.77,499.0,1,109.0,288.0,105.33333333333333,102.0,116.0,510.0,3.5588235294117645,-147.0,0.711764705882353,3,13,28,0
