Fecha,SKU_ID,CEDI,Ventas_Unidades,Stock_Actual,Lead_Time_Dias,Promocion_Activa,Precio_Combustible_MXN,Clima,Costo_Quiebre_Stock_Diario,Costo_Transferencia_Unidad,Demanda_Futura_LT,Target_Riesgo_Quiebre,Ventas_Lag_1d,Stock_Lag_1d,Ventas_Media_3d,Ventas_Media_7d,Ventas_Max_7d,Demanda_Estimada_LT,Dias_Cobertura,Gap_Estimado_LT,Ratio_Cobertura_LT,Dia_Semana,Semana_Anio,Dia_Mes,Promocion_Activa_Num,Riesgo_Probabilidad,Alerta_Riesgo
2024-03-01,HZ-Atun-Agua-140g,CEDI_Bajio,103,1869,5,1,23.75,Lluvia,8000,11.66,479.0,0,103.0,1869.0,103.0,103.0,103.0,515.0,18.145631067961165,1354.0,3.629126213592233,4,9,1,1,0.00061114255,0
2024-03-02,HZ-Atun-Agua-140g,CEDI_Bajio,92,834,5,0,23.71,Despejado,8000,9.77,493.0,0,103.0,1869.0,103.0,103.0,103.0,515.0,8.097087378640778,319.0,1.6194174757281554,5,9,2,0,0.00039289988,0
2024-03-03,HZ-Atun-Agua-140g,CEDI_Bajio,84,767,5,0,22.83,Despejado,8000,7.14,510.0,0,92.0,834.0,97.5,97.5,103.0,487.5,7.866666666666666,279.5,1.5733333333333333,6,9,3,0,0.001748102,0
2024-03-04,HZ-Atun-Agua-140g,CEDI_Bajio,103,484,5,1,23.6,Despejado,8000,10.55,490.0,1,84.0,767.0,93.0,93.0,103.0,465.0,5.204301075268817,19.0,1.0408602150537634,0,10,4,1,0.95841885,0
2024-03-05,HZ-Atun-Agua-140g,CEDI_Bajio,100,894,5,0,23.43,Despejado,8000,10.09,474.0,0,103.0,484.0,93.0,95.5,103.0,477.5,9.361256544502618,416.5,1.8722513089005235,1,10,5,0,0.00042147003,0
2024-03-06,HZ-Atun-Agua-140g,CEDI_Bajio,100,1214,5,0,24.17,Despejado,8000,10.17,459.0,0,100.0,894.0,95.66666666666669,96.4,103.0,482.0,12.593360995850622,732.0,2.5186721991701244,2,10,6,0,0.00040988796,0
2024-03-07,HZ-Atun-Agua-140g,CEDI_Bajio,106,61,5,0,23.69,Lluvia,8000,11.11,458.0,1,100.0,1214.0,101.0,97.0,103.0,485.0,0.6288659793814433,-424.0,0.1257731958762886,3,10,7,0,0.9997967,1
2024-03-08,HZ-Atun-Agua-140g,CEDI_Bajio,101,1362,5,1,23.8,Lluvia,8000,11.61,442.0,0,106.0,61.0,102.0,98.28571428571428,106.0,491.4285714285714,13.857558139534882,870.5714285714286,2.7715116279069765,4,10,8,1,0.00042692883,0
2024-03-09,HZ-Atun-Agua-140g,CEDI_Bajio,83,243,5,1,23.82,Lluvia,8000,9.52,463.0,1,101.0,1362.0,102.33333333333331,98.0,106.0,490.0,2.479591836734694,-247.0,0.4959183673469388,5,10,9,1,0.9994117,1
2024-03-10,HZ-Atun-Agua-140g,CEDI_Bajio,84,1425,5,0,23.45,Despejado,8000,10.47,484.0,0,83.0,243.0,96.66666666666669,96.71428571428572,106.0,483.57142857142856,14.734121122599705,941.4285714285714,2.946824224519941,6,10,10,0,0.00043149595,0
2024-03-11,HZ-Atun-Agua-140g,CEDI_Bajio,85,603,5,1,23.13,Despejado,8000,11.37,504.0,0,84.0,1425.0,89.33333333333333,96.71428571428572,106.0,483.57142857142856,6.234859675036928,119.42857142857144,1.2469719350073856,0,11,11,1,0.0018280118,0
